 Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,,2014,2015
Afghanistan,55.8,56.3,56.8,57.3,57.8,58.3,58.8,59.4,59.9,60.5,61.0,61.6,62.1,62.5,,63.0,63.4
Albania,74.0,74.3,74.6,74.8,75.0,75.2,75.4,75.6,75.9,76.2,76.6,76.9,77.3,77.6,,77.8,78.0
Algeria,70.6,71.1,71.6,72.1,72.6,73.1,73.5,73.9,74.3,74.6,74.9,75.2,75.4,75.7,,75.9,76.1
American Samoa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
Andorra,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
Angola,46.5,47.1,47.7,48.4,49.3,50.2,51.1,52.2,53.2,54.3,55.4,56.3,57.2,58.1,,58.8,59.4
Antigua and Barbuda,73.9,74.2,74.4,74.6,74.8,75.0,75.2,75.4,75.5,75.7,75.8,76.0,76.1,76.2,,76.3,76.5
Argentina,73.6,73.8,73.9,74.1,74.3,74.5,74.6,74.8,75.0,75.1,75.3,75.4,75.6,75.8,,75.9,76.1
Armenia,71.4,71.8,72.1,72.3,72.5,72.6,72.7,72.8,72.9,73.1,73.3,73.6,73.8,74.1,,74.3,74.5
Aruba,73.8,73.9,73.9,74.0,74.2,74.3,74.4,74.6,74.7,74.9,75.0,75.2,75.3,75.4,,75.6,75.7
Australia,79.2,79.6,79.9,80.2,80.5,80.8,81.0,81.3,81.4,81.5,81.7,81.9,82.0,82.1,,82.3,82.4
Austria,78.1,78.6,78.7,78.6,79.2,79.3,79.9,80.2,80.4,80.3,80.6,81.0,80.9,81.1,,81.5,81.2
Azerbaijan,66.8,67.1,67.4,67.8,68.2,68.7,69.3,69.8,70.2,70.6,70.9,71.2,71.5,71.8,,72.0,72.3
"Bahamas, The",71.9,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.1,72.1,72.3,72.4,72.6,,72.8,73.1
Bahrain,74.4,74.6,74.8,75.0,75.2,75.3,75.5,75.6,75.8,75.9,76.1,76.2,76.3,76.5,,76.6,76.8
Bangladesh,65.4,66.0,66.4,66.9,67.3,67.8,68.2,68.6,69.1,69.5,69.9,70.3,70.6,70.9,,71.2,71.5
Barbados,77.2,77.4,77.5,77.7,77.8,77.9,78.0,78.1,78.2,78.3,78.4,78.5,78.5,78.6,,78.7,78.8
Belarus,68.9,68.5,68.1,68.6,69.0,68.9,69.4,70.2,70.5,70.4,70.4,70.6,72.0,72.5,,73.0,73.6
Belgium,77.7,78.0,78.1,78.1,78.9,79.0,79.4,79.8,79.7,80.0,80.2,80.6,80.4,80.6,,81.3,81.0
Belize,68.8,69.0,69.3,69.5,69.7,70.0,70.3,70.6,71.1,71.5,72.1,72.6,73.0,73.5,,73.8,74.0
Benin,55.4,55.7,56.0,56.4,56.9,57.4,57.8,58.3,58.7,59.0,59.3,59.6,59.8,60.1,,60.3,60.6
Bermuda,77.9,77.9,78.1,78.3,78.5,78.7,78.9,78.9,79.2,79.4,79.3,81.2,81.7,80.6,,80.8,81.0
Bhutan,60.9,61.8,62.7,63.6,64.5,65.3,66.0,66.7,67.3,67.9,68.4,68.8,69.3,69.7,,70.0,70.4
Bolivia,62.5,63.1,63.6,64.2,64.8,65.3,65.9,66.4,66.9,67.5,68.0,68.5,69.0,69.5,,69.9,70.3
Bosnia and Herzegovina,74.4,74.6,74.8,74.9,75.1,75.2,75.3,75.5,75.7,75.8,76.0,76.2,76.4,76.6,,76.7,76.9
Botswana,50.6,50.3,50.2,50.5,51.2,52.1,53.4,55.0,56.7,58.4,60.2,61.9,63.5,65.0,,66.3,67.3
Brazil,70.1,70.5,70.8,71.2,71.5,71.9,72.3,72.6,73.0,73.3,73.6,73.9,74.2,74.5,,74.7,75.0
British Virgin Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
Brunei Darussalam,72.8,73.1,73.3,73.6,73.8,74.0,74.2,74.4,74.5,74.6,74.7,74.9,75.0,75.1,,75.2,75.3
Bulgaria,71.7,71.8,71.9,72.1,72.6,72.6,72.6,72.7,73.0,73.4,73.5,74.2,74.3,74.9,,74.5,74.6
Burkina Faso,50.5,50.9,51.4,52.0,52.6,53.3,54.1,54.8,55.6,56.4,57.1,57.8,58.4,58.9,,59.5,59.9
Burundi,49.1,49.9,50.8,51.7,52.5,53.4,54.2,54.9,55.7,56.5,57.2,57.9,58.6,59.1,,59.7,60.1
Cabo Verde,68.6,69.1,69.6,69.9,70.2,70.4,70.6,70.7,70.8,70.9,71.1,71.2,71.4,71.7,,71.9,72.1
Cambodia,58.4,59.3,60.3,61.2,62.2,63.1,63.9,64.7,65.4,66.0,66.6,67.0,67.5,67.9,,68.3,68.6
Cameroon,51.0,51.2,51.5,51.9,52.3,52.8,53.2,53.7,54.2,54.6,55.1,55.6,56.1,56.6,,57.1,57.6
Canada,79.1,79.3,79.5,79.7,79.9,80.2,80.3,80.5,80.7,81.0,81.2,81.4,81.6,81.7,,81.8,81.9
Cayman Islands,..,..,..,..,..,..,..,..,..,..,82.2,..,..,..,,..,..
Central African Republic,44.2,44.1,44.1,44.2,44.4,44.7,45.2,45.6,46.2,46.7,47.3,48.0,48.6,49.4,,50.1,50.9
Chad,47.7,47.8,47.9,48.1,48.3,48.5,48.9,49.3,49.8,50.3,50.9,51.4,51.9,52.4,,52.8,53.1
Channel Islands,79.0,79.3,79.5,79.8,80.0,80.3,80.6,80.8,81.0,81.3,81.5,81.7,81.9,82.1,,82.3,82.4
Chile,76.4,76.6,76.9,77.1,77.4,77.6,77.9,78.1,78.3,78.6,78.8,79.0,79.2,79.3,,79.5,79.6
China,71.4,71.7,72.1,72.4,72.7,73.0,73.3,73.6,73.8,74.1,74.4,74.7,75.0,75.3,,75.6,75.9
Colombia,72.9,73.2,73.5,73.8,74.0,74.3,74.5,74.7,75.0,75.2,75.4,75.7,75.9,76.1,,76.3,76.5
Comoros,59.5,59.5,59.6,59.7,59.9,60.1,60.4,60.7,61.1,61.5,61.9,62.2,62.6,62.9,,63.2,63.5
"Congo, Dem. Rep.",50.0,50.7,51.4,52.1,52.9,53.7,54.4,55.1,55.7,56.4,56.9,57.4,57.9,58.4,,58.8,59.3
"Congo, Rep.",52.1,52.5,53.1,53.8,54.7,55.6,56.6,57.5,58.5,59.3,60.1,60.8,61.4,62.0,,62.6,63.1
Costa Rica,77.5,77.6,77.7,77.9,78.0,78.1,78.2,78.4,78.5,78.6,78.8,78.9,79.1,79.2,,79.4,79.6
Cote d'Ivoire,49.6,49.5,49.5,49.6,49.8,50.1,50.6,51.1,51.7,52.3,53.0,53.6,54.3,54.9,,55.5,56.1
Croatia,72.8,74.5,74.7,74.6,75.5,75.2,75.8,75.7,75.9,76.2,76.5,76.8,76.9,77.1,,77.5,77.3
Cuba,76.7,76.9,77.1,77.3,77.5,77.7,77.9,78.0,78.2,78.3,78.3,78.4,78.4,78.5,,78.5,78.6
Curacao,..,..,..,..,..,..,74.7,75.4,75.3,76.2,..,77.5,77.5,77.8,,78.0,78.1
Cyprus,78.0,78.1,78.3,78.4,78.5,78.6,78.8,78.9,79.1,79.2,79.4,79.6,79.8,80.0,,80.2,80.4
Czech Republic,75.0,75.2,75.2,75.2,75.7,75.9,76.5,76.7,77.0,77.1,77.4,77.9,78.1,78.2,,78.8,78.6
Denmark,76.6,76.8,76.9,77.1,77.5,77.8,78.1,78.2,78.4,78.6,79.1,79.8,80.1,80.3,,80.7,80.7
Djibouti,57.0,57.1,57.2,57.4,57.7,58.0,58.3,58.7,59.1,59.6,60.1,60.7,61.4,62.2,,63.2,64.1
Dominica,..,..,76.6,..,..,..,..,..,..,..,..,..,..,..,,..,..
Dominican Republic,69.4,69.7,70.0,70.2,70.5,70.8,71.0,71.3,71.6,71.8,72.0,72.3,72.5,72.8,,73.0,73.2
Ecuador,72.8,73.1,73.4,73.6,73.9,74.1,74.3,74.5,74.7,74.9,75.1,75.3,75.5,75.7,,75.9,76.1
"Egypt, Arab Rep.",68.6,68.8,69.0,69.1,69.3,69.4,69.6,69.8,70.0,70.2,70.3,70.5,70.7,70.9,,71.1,71.3
El Salvador,68.9,69.2,69.4,69.7,69.9,70.1,70.3,70.5,70.8,71.0,71.2,71.4,71.7,71.9,,72.2,72.4
Equatorial Guinea,53.3,53.6,53.8,54.1,54.3,54.4,54.6,54.8,55.1,55.3,55.6,55.9,56.3,56.6,,57.0,57.4
Eritrea,55.3,55.9,56.5,57.2,57.9,58.7,59.5,60.2,61.0,61.6,62.2,62.7,63.2,63.7,,64.2,64.7
Estonia,70.4,70.3,70.9,71.3,71.9,72.6,72.7,72.8,73.8,74.8,75.4,76.2,76.3,77.1,,77.0,77.6
Ethiopia,51.9,52.6,53.3,54.2,55.2,56.2,57.3,58.5,59.6,60.6,61.6,62.5,63.3,64.0,,64.5,65.0
Faroe Islands,78.4,78.6,78.8,79.0,79.2,79.4,79.7,79.9,80.1,80.4,80.6,80.9,81.1,81.3,,81.6,81.8
Fiji,65.7,65.9,66.0,66.2,66.2,66.3,66.4,66.4,66.5,66.6,66.7,66.8,66.9,67.0,,67.0,67.1
Finland,77.5,78.0,78.1,78.4,78.7,78.8,79.2,79.3,79.6,79.7,79.9,80.5,80.6,81.0,,81.2,81.5
France,79.1,79.2,79.3,79.1,80.2,80.2,80.8,81.1,81.2,81.4,81.7,82.1,82.0,82.2,,82.7,82.3
French Polynesia,72.3,72.7,73.0,73.4,73.8,74.1,74.5,74.8,75.1,75.4,75.6,75.8,76.1,76.3,,76.5,76.8
Gabon,58.3,58.0,57.8,57.8,57.9,58.2,58.6,59.2,59.9,60.6,61.4,62.2,62.9,63.6,,64.3,64.9
"Gambia, The",56.0,56.4,56.8,57.2,57.6,57.9,58.3,58.7,59.0,59.3,59.6,59.9,60.2,60.4,,60.7,60.9
Georgia,69.9,70.1,70.2,70.3,70.5,70.5,70.6,70.8,70.9,71.2,71.5,71.8,72.1,72.4,,72.7,73.0
Germany,77.9,78.3,78.2,78.4,78.7,78.9,79.1,79.5,79.7,79.8,80.0,80.4,80.5,80.5,,81.1,80.6
Ghana,57.0,57.2,57.4,57.8,58.2,58.7,59.2,59.7,60.2,60.6,61.0,61.4,61.7,62.1,,62.4,62.8
Gibraltar,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,..,..
Greece,77.9,78.4,78.6,78.8,79.0,79.2,79.4,79.4,79.9,80.2,80.4,80.7,80.6,81.3,,81.4,81.0
Greenland,67.0,67.6,68.2,68.4,68.8,69.2,69.5,70.0,70.2,70.5,70.9,71.1,71.3,71.8,,71.5,71.2
Grenada,72.6,72.8,72.9,73.0,73.1,73.1,73.1,73.1,73.0,73.0,72.9,72.8,72.7,72.6,,72.5,72.4
Guam,75.0,75.4,75.7,76.1,76.4,76.7,77.0,77.2,77.5,77.7,77.9,78.2,78.4,78.6,,78.9,79.1
Guatemala,67.8,68.3,68.7,69.1,69.4,69.8,70.1,70.4,70.8,71.1,71.5,71.9,72.2,72.6,,72.9,73.3
Guinea,51.2,51.3,51.5,51.9,52.5,53.2,54.1,54.9,55.6,56.3,56.9,57.4,57.9,58.4,,59.0,59.6
Guinea-Bissau,50.4,50.7,51.1,51.5,51.9,52.3,52.7,53.1,53.6,54.1,54.6,55.1,55.6,56.1,,56.6,57.0
Guyana,65.2,65.5,65.8,66.1,66.4,66.7,67.0,67.2,67.5,67.8,68.1,68.3,68.6,68.8,,69.0,69.3
Haiti,57.1,57.4,57.7,58.0,58.3,58.7,59.0,59.4,59.8,60.1,60.5,60.9,61.3,61.7,,62.1,62.5
Honduras,70.7,71.0,71.2,71.5,71.8,72.0,72.3,72.5,72.8,73.1,73.3,73.6,73.8,74.1,,74.3,74.5
"Hong Kong SAR, China",80.9,81.4,81.4,81.4,81.8,81.6,82.4,82.3,82.4,82.8,83.0,83.4,83.5,83.8,,84.0,84.3
Hungary,71.2,72.2,72.3,72.3,72.6,72.6,73.1,73.2,73.7,73.9,74.2,74.9,75.1,75.6,,75.8,75.6
Iceland,79.7,80.7,80.5,81.0,81.0,81.5,81.2,81.5,81.6,81.8,81.9,82.4,82.9,82.1,,82.9,82.5
India,62.5,62.9,63.3,63.7,64.1,64.5,64.9,65.4,65.8,66.2,66.7,67.1,67.5,67.9,,68.3,68.6
Indonesia,65.8,66.0,66.3,66.6,67.0,67.3,67.7,68.1,68.5,68.9,69.2,69.5,69.9,70.2,,70.5,70.8
"Iran, Islamic Rep.",70.2,70.6,70.9,71.3,71.6,71.9,72.3,72.6,73.0,73.5,73.9,74.4,74.8,75.2,,75.5,75.8
Iraq,69.1,69.0,68.8,68.6,68.4,68.3,68.2,68.1,68.2,68.3,68.6,68.8,69.1,69.4,,69.7,69.9
Ireland,76.5,77.1,77.6,78.1,78.5,78.9,79.2,79.6,80.1,80.2,80.7,80.7,80.8,80.9,,81.3,81.5
Isle of Man,..,..,78.0,..,..,..,..,..,..,..,..,..,..,..,,..,..
Israel,79.0,79.4,79.5,79.6,80.1,80.2,80.6,80.5,81.0,81.4,81.6,81.7,81.7,82.1,,82.2,82.1
Italy,79.8,80.1,80.2,80.0,80.8,80.8,81.3,81.4,81.5,81.6,82.0,82.2,82.2,82.7,,83.1,82.5
Jamaica,74.1,74.1,74.1,74.1,74.1,74.1,74.1,74.1,74.1,74.1,74.0,74.0,74.0,74.0,,74.0,74.1
Japan,81.1,81.4,81.6,81.8,82.0,81.9,82.3,82.5,82.6,82.9,82.8,82.6,83.1,83.3,,83.6,83.8
Jordan,71.7,71.9,72.1,72.3,72.4,72.6,72.8,72.9,73.1,73.3,73.4,73.6,73.7,73.9,,74.0,74.1
Kazakhstan,65.5,65.8,66.0,65.7,66.1,65.9,66.2,66.3,67.1,68.4,68.5,68.7,69.5,70.6,,71.4,72.0
Kenya,50.9,51.1,51.6,52.4,53.5,54.7,56.1,57.5,58.8,59.9,61.0,61.9,62.7,63.4,,64.1,64.8
Kiribati,63.1,63.4,63.7,64.0,64.2,64.5,64.7,65.0,65.2,65.5,65.8,66.1,66.4,66.7,,67.0,67.3
"Korea, Dem. People's Rep.",65.3,66.1,66.9,67.6,68.1,68.4,68.5,68.7,68.9,69.2,69.6,70.0,70.5,70.9,,71.2,71.5
"Korea, Rep.",75.9,76.4,76.8,77.2,77.7,78.2,78.7,79.1,79.5,80.0,80.1,80.6,80.8,81.3,,81.7,82.0
Kosovo,67.7,67.8,67.9,68.2,68.5,68.8,69.0,69.3,69.6,69.9,70.1,70.4,70.7,70.9,,71.2,71.5
Kuwait,73.1,73.2,73.3,73.4,73.4,73.5,73.7,73.8,74.0,74.2,74.4,74.6,74.7,74.9,,75.0,75.1
Kyrgyz Republic,68.6,68.7,68.2,68.3,68.2,68.0,67.7,67.9,68.5,69.1,69.3,69.6,70.0,70.2,,70.4,70.7
Lao PDR,58.8,59.4,59.9,60.5,61.1,61.6,62.2,62.7,63.3,63.8,64.3,64.8,65.3,65.7,,66.1,66.5
